Name,State,YEAR,Region_type,FAH,FAFH,Total nominal food sales,FAH.1,FAFH.1,Total constant dollar food sales,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS,diversity,tons,FAH_diff,FAH_percent_change,FAFH_diff,FAFH_percent_change,Total nominal food sales_diff,Total nominal food sales_percent_change,Total constant dollar food sales_diff,Total constant dollar food sales_percent_change,NUMBER_OF_EVENTS_diff,NUMBER_OF_EVENTS_percent_change,DAMAGE_PROPERTY_diff,DAMAGE_PROPERTY_percent_change,DAMAGE_CROPS_diff,DAMAGE_CROPS_percent_change,diversity_diff,diversity_percent_change,tons_diff,tons_percent_change
Alexandria,WEST VIRGINIA,2015,MSA,3574.21,3274.79,6848.99,"1,720.34","1,557.47",3277.81,895,20726000.0,0.0,0.671079545240462,1876.697249418197,-26.769999999999982,-0.7434087387322319,167.53999999999996,5.3919060262289875,140.76000000000022,2.098318036203284,4.309999999999945,0.13166335726286782,-161.0,-15.246212121212121,10395800.0,100.63503126754566,-85000.0,-100.0,0.010717217168558224,1.6229298239725187,9.734377592337069,0.5214017771449919
Alice,TEXAS,2013,CSA,57944.13,51265.36,109209.48,"28,889.19","25,688.78",54577.97,5269,1410698000.0,2247948100.0,0.2416564235864338,1128.5010000000002,1660.0299999999988,2.949376466888509,4001.6500000000015,8.466643858469848,5661.669999999998,5.467686858852927,2073.4500000000044,3.949088573707571,455.0,9.451599501454089,-825234710.0,-36.90785086282852,965820600.0,75.3295284595331,-0.0009564631865537077,-0.3942342879126093,-45.66260000000011,-3.8889469917139374
Alice,TEXAS,2014,CSA,61201.71,57007.11,118208.81,"29,801.38","27,887.53",57688.91,4708,1026154650.0,124285400.0,0.2419657941004471,1325.4423000000004,3257.5800000000017,5.621932713460365,5741.75,11.200057894843617,8999.330000000002,8.240429310715513,3110.9400000000023,5.699992139685661,-561.0,-10.647181628392488,-384543350.0,-27.259083801068694,-2123662700.0,-94.47116239027049,0.0003093705140133074,0.1280208112914627,196.94130000000018,17.45158400391318
Alice,TEXAS,2015,CSA,62350.08,62135.25,124485.33,"30,010.40","29,551.13",59561.52,5278,2142740070.0,455955500.0,0.2419789609746502,1336.2888000000005,1148.3700000000026,1.8763691406661787,5128.139999999999,8.995614757527616,6276.520000000004,5.309688846372795,1872.6099999999933,3.246048503949872,570.0,12.107051826677996,1116585420.0,108.81258687469769,331670100.0,266.86167482262596,1.3166874203079937e-05,0.00544162626459066,10.846500000000106,0.8183306055646655
Alma,MICHIGAN,2013,CSA,19056.58,16959.79,36016.37,"9,501.04","8,498.45",17999.49,1216,197171500.0,5000.0,0.6171216244363373,1601.2526608278324,606.6200000000026,3.2879204074155233,847.0600000000013,5.257085546645435,1453.6700000000055,4.205892479464879,471.34000000000015,2.689045906156662,224.0,22.580645161290324,152898280.0,345.35161436191004,-152795000.0,-99.9967277486911,-0.01178837129573318,-1.8744130918146973,-137.436274971873,-7.904592485869788
Alma,MICHIGAN,2014,CSA,20308.14,17810.19,38118.33,"9,888.78","8,712.64",18601.42,1214,1880374000.0,0.0,0.6275555019357963,1859.7172586120969,1251.5599999999977,6.567600272451801,850.3999999999978,5.014213029760373,2101.959999999999,5.836123962520379,601.9299999999967,3.3441503064808975,-2.0,-0.164473684210531,1683202500.0,853.674339344175,-5000.0,-100.0,0.01043387749945901,1.6907327642244008,258.46459778426447,16.14140004929896
Alma,MICHIGAN,2015,CSA,20858.57,19286.72,40145.29,"10,039.67","9,172.64",19212.31,878,79924000.0,0.0,0.6276514828839124,1889.514547849906,550.4300000000003,2.7103910057740377,1476.5300000000025,8.290366357686253,2026.9599999999991,5.317546702596876,610.890000000003,3.2841041167825047,-336.0,-27.67710049423394,-1800450000.0,-95.74956896872644,0.0,,9.598094811602564e-05,0.015294415843691844,29.797289237809082,1.602248357906122
Altoona,PENNSYLVANIA,2013,MSA,25825.58,22435.27,48260.85,"12,875.85","11,242.19",24118.04,1803,24947250.0,15000.0,0.5902081160402849,431.3238456919407,58.37000000000262,0.22652821163022807,1013.7799999999988,4.7325372791528375,1072.1500000000015,2.272048181026398,191.76000000000204,0.8014618235680615,118.0,7.002967359050438,-17824000.0,-41.672852675570624,13500.0,900.0,-0.01634629937688048,-2.694943596385846,4.499581520060758,1.054200029792307
Altoona,PENNSYLVANIA,2014,MSA,27048.07,23908.91,50956.98,"13,170.71","11,696.09",24866.8,1676,18892750.0,2000.0,0.6083691193251879,452.87577146890806,1222.489999999998,4.73364005764827,1473.6399999999994,6.568407690212763,2696.1300000000047,5.586577940504589,748.7599999999984,3.1045640524685947,-127.0,-7.043815862451474,-6054500.0,-24.26920802894107,-13000.0,-86.66666666666667,0.018161003284903,3.0770507540196945,21.55192577696738,4.996692390700819
Altoona,PENNSYLVANIA,2015,MSA,27623.41,26025.95,53649.37,"13,295.73","12,377.78",25673.5,1470,20544350.0,0.0,0.6047170878161275,460.7417325086799,575.3400000000001,2.1271018597630142,2117.040000000001,8.854606922691177,2692.3899999999994,5.283652995134336,806.7000000000007,3.244084482120746,-206.0,-12.29116945107399,1651600.0,8.741977742784934,-2000.0,-100.0,-0.0036520315090603495,-0.6002986333545679,7.8659610397718325,1.7368915573157118
Amarillo,TEXAS,2013,CSA,57944.13,51265.36,109209.48,"28,889.19","25,688.78",54577.97,5269,1410698000.0,2247948100.0,0.6283045744616216,1022.8740592209735,1660.0299999999988,2.949376466888509,4001.6500000000015,8.466643858469848,5661.669999999998,5.467686858852927,2073.4500000000044,3.949088573707571,455.0,9.451599501454089,-825234710.0,-36.90785086282852,965820600.0,75.3295284595331,-0.008151853181579294,-1.2808187375474622,-13.872129701369204,-1.338044918765391
Amarillo,TEXAS,2014,CSA,61201.71,57007.11,118208.81,"29,801.38","27,887.53",57688.91,4708,1026154650.0,124285400.0,0.6268822427410182,1131.5698865948723,3257.5800000000017,5.621932713460365,5741.75,11.200057894843617,8999.330000000002,8.240429310715513,3110.9400000000023,5.699992139685661,-561.0,-10.647181628392488,-384543350.0,-27.259083801068694,-2123662700.0,-94.47116239027049,-0.0014223317206033537,-0.22637615233378483,108.69582737389874,10.626511288856232
Amarillo,TEXAS,2015,CSA,62350.08,62135.25,124485.33,"30,010.40","29,551.13",59561.52,5278,2142740070.0,455955500.0,0.6352703357965477,1136.615083111909,1148.3700000000026,1.8763691406661787,5128.139999999999,8.995614757527616,6276.520000000004,5.309688846372795,1872.6099999999933,3.246048503949872,570.0,12.107051826677996,1116585420.0,108.81258687469769,331670100.0,266.86167482262596,0.008388093055529455,1.3380651873074134,5.045196517036629,0.44585814599737983
Ames,IOWA,2013,CSA,6780.81,5072.15,11852.96,"3,380.70","2,541.63",5922.33,2170,112032700.0,968070000.0,0.4509341656303933,11154.687975024472,196.86000000000058,2.9899984052126793,289.3299999999999,6.049360001003601,486.1999999999989,4.277384232622117,162.27999999999975,2.8173366550637624,188.0,9.485368314833508,90676900.0,424.6008110208936,-1806878000.0,-65.11394087384701,-0.03390800119455012,-6.993616379656375,-143.24531123153247,-1.2678895121976952
