ID,State_FIPS,Name,Region_type,State,diversity_2012,diversity_2013,diversity_2014,diversity_2015
2099,20,Remainder of Kansas,RS,Kansas,0.6358866209197052,0.6575487117941465,0.6744041381563877,0.6653654869949239
2101,21,Bowling Green,CSA,Kentucky,0.5991819442281607,0.5958225034515005,0.5969870570880207,0.5970691887731419
2101,21,Glasgow,CSA,Kentucky,0.5991819442281607,0.5958225034515005,0.5969870570880207,0.5970691887731419
2102,21,Charleston,CSA,Kentucky,0.5584198893635146,0.5375197337620556,0.5633370655308275,0.5646797045760062
2102,21,Huntington,CSA,Kentucky,0.5584198893635146,0.5375197337620556,0.5633370655308275,0.5646797045760062
2102,21,Ashland,CSA,Kentucky,0.5584198893635146,0.5375197337620556,0.5633370655308275,0.5646797045760062
2104,21,Clarksville,MSA,Kentucky,0.6064254666090098,0.5980574197586477,0.6150981659763399,0.6107689871526448
2106,21,Lexington,CSA,Kentucky,0.6307505815192109,0.6206102317034826,0.6296365257314115,0.6315641723725253
2106,21,Fayette,CSA,Kentucky,0.6307505815192109,0.6206102317034826,0.6296365257314115,0.6315641723725253
2106,21,,CSA,Kentucky,0.6307505815192109,0.6206102317034826,0.6296365257314115,0.6315641723725253
2106,21,Richmond,CSA,Kentucky,0.6307505815192109,0.6206102317034826,0.6296365257314115,0.6315641723725253
2106,21,,CSA,Kentucky,0.6307505815192109,0.6206102317034826,0.6296365257314115,0.6315641723725253
2106,21,Frankfort,CSA,Kentucky,0.6307505815192109,0.6206102317034826,0.6296365257314115,0.6315641723725253
2108,21,Martin,CSA,Kentucky,0.7513634700760352,0.7409134354528201,0.6761647835643233,0.6746977125234388
2108,21,Union City,CSA,Kentucky,0.7513634700760352,0.7409134354528201,0.6761647835643233,0.6746977125234388
2109,21,Owensboro,MSA,Kentucky,0.5378038033275653,0.5271956637927104,0.5377133657667464,0.5390306219339208
2199,21,Remainder of Kentucky,RS,Kentucky,0.693464005042807,0.6836107283468706,0.6920051913906533,0.6936773267525281
2201,22,Alexandria,MSA,Louisiana,0.5045202558540242,0.5024726658584354,0.517201247413526,0.5174160907639166
2202,22,Baton Rouge,MSA,Louisiana,0.584669495680087,0.5861313719860012,0.5905565469706537,0.5936346066481848
2203,22,DeRidder,CSA,Louisiana,0.44190198548123505,0.4443210427579195,0.45354718698696805,0.45305004988186437
2203,22,Fort Polk South,CSA,Louisiana,0.44190198548123505,0.4443210427579195,0.45354718698696805,0.45305004988186437
2204,22,Houma,MSA,Louisiana,0.42786015100301017,0.43058885300455635,0.43086460314619685,0.4301902681177521
2204,22,Thibodaux,MSA,Louisiana,0.42786015100301017,0.43058885300455635,0.43086460314619685,0.4301902681177521
2205,22,Lafayette,CSA,Louisiana,0.5407767674542281,0.5427892676321471,0.5492271167428204,0.5477504402864289
2205,22,Opelousas,CSA,Louisiana,0.5407767674542281,0.5427892676321471,0.5492271167428204,0.5477504402864289
2205,22,Morgan City,CSA,Louisiana,0.5407767674542281,0.5427892676321471,0.5492271167428204,0.5477504402864289
2206,22,Lake Charles,MSA,Louisiana,0.317215569547303,0.3150406309684241,0.31741395201760564,0.31820073543376803
2207,22,Monroe,CSA,Louisiana,0.5490043890366103,0.5484106155733623,0.524095893686201,0.5546481662799954
2207,22,Ruston,CSA,Louisiana,0.5490043890366103,0.5484106155733623,0.524095893686201,0.5546481662799954
2207,22,Bastrop,CSA,Louisiana,0.5490043890366103,0.5484106155733623,0.524095893686201,0.5546481662799954
