STATE,YEAR,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS
SOUTH CAROLINA,2014,782,12054900.0,27200.0
SOUTH CAROLINA,2015,1317,153771870.0,24847000.0
SOUTH DAKOTA,2012,1556,7231100.0,30000.0
SOUTH DAKOTA,2013,1743,153441500.0,125000.0
SOUTH DAKOTA,2014,1335,17439000.0,2000000.0
SOUTH DAKOTA,2015,1680,7870000.0,0.0
ST LAWRENCE R,2012,2,0.0,0.0
TENNESSEE,2012,1553,85861750.0,412000.0
TENNESSEE,2013,1121,92006000.0,2071000.0
TENNESSEE,2014,1143,57254000.0,3000.0
TENNESSEE,2015,1180,78686250.0,2110000.0
TEXAS,2012,4814,2235932710.0,1282127500.0
TEXAS,2013,5269,1410698000.0,2247948100.0
TEXAS,2014,4708,1026154650.0,124285400.0
TEXAS,2015,5278,2142740070.0,455955500.0
UTAH,2012,419,27244000.0,0.0
UTAH,2013,482,5766200.0,0.0
UTAH,2014,328,7085000.0,0.0
UTAH,2015,325,2774000.0,0.0
VERMONT,2012,366,3815500.0,10810000.0
VERMONT,2013,311,13455500.0,75000.0
VERMONT,2014,194,7250000.0,0.0
VERMONT,2015,234,3553500.0,0.0
VIRGIN ISLANDS,2012,1,0.0,0.0
VIRGIN ISLANDS,2013,27,22600.0,0.0
VIRGIN ISLANDS,2014,6,0.0,0.0
VIRGIN ISLANDS,2015,8,0.0,0.0
VIRGINIA,2012,2202,53827050.0,3752700.0
VIRGINIA,2013,1556,7510250.0,171100.0
VIRGINIA,2014,1824,7384700.0,1346250.0
VIRGINIA,2015,1686,19018400.0,512000.0
WASHINGTON,2012,450,27319750.0,1126000.0
WASHINGTON,2013,247,12839030.0,495000.0
WASHINGTON,2014,433,328164500.0,1118000.0
WASHINGTON,2015,538,28941510.0,20500.0
WEST VIRGINIA,2012,859,102529950.0,30000.0
WEST VIRGINIA,2013,759,9586250.0,17600.0
WEST VIRGINIA,2014,1056,10330200.0,85000.0
WEST VIRGINIA,2015,895,20726000.0,0.0
WISCONSIN,2012,1458,32690400.0,236000.0
WISCONSIN,2013,1272,47620600.0,289000.0
WISCONSIN,2014,1285,51074500.0,3511000.0
WISCONSIN,2015,824,8732600.0,6000.0
WYOMING,2012,953,5113000.0,1000.0
WYOMING,2013,1398,18609000.0,2045000.0
WYOMING,2014,1478,2199000.0,0.0
WYOMING,2015,1118,10352000.0,250000.0
